name,price,capacity,price_per_gb,type,cache,form_factor,interface
Western Digital Blue,2860.0,6000.0,0.024,5400,256.0,3.5,SATA 6.0 Gb/s
Toshiba P300,2406.0,4000.0,0.03,5400,128.0,3.5,SATA 6.0 Gb/s
Samsung 860 Pro,5999.8,1000.0,0.3,SSD,1024.0,2.5,SATA 6.0 Gb/s
Toshiba X300,3999.8,4000.0,0.05,7200,256.0,3.5,SATA 6.0 Gb/s
Samsung 860 Pro,8600.0,2000.0,0.215,SSD,2048.0,2.5,SATA 6.0 Gb/s
Western Digital Red,5370.0,8000.0,0.034,5400,128.0,3.5,SATA 6.0 Gb/s
Western Digital Purple,1538.8,2000.0,0.038,5400,256.0,3.5,SATA 6.0 Gb/s
Seagate SkyHawk AI,5999.8,16000.0,0.019,7200,256.0,3.5,SATA 6.0 Gb/s
MSI SPATIUM M480 PRO PLAY,2878.8,2000.0,0.072,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4
Seagate Exos X20,7596.6,18000.0,0.021,7200,256.0,3.5,SATA 6.0 Gb/s
Toshiba P300,3155.0,3000.0,0.053,7200,64.0,3.5,SATA 6.0 Gb/s
Western Digital Blue,2259.79,3000.0,0.038,5400,64.0,3.5,SATA 6.0 Gb/s
Hitachi Ultrastar He12,5100.0,12000.0,0.021,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate Barracuda Compute,2399.79,6000.0,0.02,5400,256.0,3.5,SATA 6.0 Gb/s
Western Digital Gold,5599.8,12000.0,0.023,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate Barracuda Compute,1780.0,2000.0,0.045,5400,256.0,3.5,SATA 6.0 Gb/s
Toshiba HDKCC00,500.0,500.0,0.05,7200,16.0,2.5,SATA 6.0 Gb/s
Western Digital VelociRaptor,3999.8,600.0,0.333,10000,32.0,3.5,SATA 6.0 Gb/s
Western Digital Gold,5799.8,8000.0,0.036,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate Exos 7E10 512e/4Kn,4679.8,10000.0,0.023,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf Pro,5479.8,10000.0,0.027,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf Pro,3100.0,4000.0,0.039,7200,128.0,3.5,SATA 6.0 Gb/s
Toshiba MG04ACA400N,2200.0,4000.0,0.028,7200,128.0,3.5,SATA 6.0 Gb/s
Seagate ST2000NX0253,2928.8,2000.0,0.073,7200,128.0,2.5,SATA 6.0 Gb/s
Samsung 860 Pro,4759.8,512.0,0.465,SSD,512.0,2.5,SATA 6.0 Gb/s
Western Digital Red,5488.2,10000.0,0.027,5400,256.0,3.5,SATA 6.0 Gb/s
Seagate EXOS Enterprise,4331.8,8000.0,0.027,7200,256.0,3.5,SATA 6.0 Gb/s
Toshiba N300 NAS,2499.79,4000.0,0.031,7200,512.0,3.5,SATA 6.0 Gb/s
Western Digital Caviar Blue,1579.0,500.0,0.158,7200,16.0,3.5,SATA 3.0 Gb/s
Seagate EE25.2,440.0,40.0,0.55,5400,8.0,2.5,SATA 3.0 Gb/s
Western Digital Red,2380.0,2000.0,0.06,5400,64.0,3.5,SATA 6.0 Gb/s
Toshiba S300,1670.2,2000.0,0.042,5400,128.0,3.5,SATA 6.0 Gb/s
Toshiba MQ04ABF100,980.0,1000.0,0.049,5400,128.0,2.5,SATA 6.0 Gb/s
Western Digital Ultrastar DC HC550,7713.0,14000.0,0.028,7200,512.0,3.5,SATA 6.0 Gb/s
Toshiba S300,3365.2,6000.0,0.028,5400,256.0,3.5,SATA 6.0 Gb/s
Western Digital Black,1199.8,500.0,0.12,7200,32.0,2.5,SATA 6.0 Gb/s
Western Digital Purple,4499.8,8000.0,0.028,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital Purple,1193.59,1000.0,0.06,5400,64.0,3.5,SATA 6.0 Gb/s
Western Digital Gold,5149.0,4000.0,0.064,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital AV-25,699.8,1000.0,0.035,5400,16.0,2.5,SATA 3.0 Gb/s
Western Digital Gold,1953.8,2000.0,0.049,7200,128.0,3.5,SATA 6.0 Gb/s
Seagate Exos X18,7271.2,12000.0,0.03,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital Red Plus,9199.79,14000.0,0.033,7200,512.0,3.5,SATA 6.0 Gb/s
Samsung MZ-75E4T0B,9999.79,4000.0,0.125,SSD,4096.0,2.5,SATA 6.0 Gb/s
Seagate IronWolf,1822.6,1000.0,0.091,5400,256.0,3.5,SATA 6.0 Gb/s
Samsung 860 Pro,4500.0,256.0,0.879,SSD,512.0,2.5,SATA 6.0 Gb/s
Western Digital Caviar Black,3029.2,2000.0,0.076,7200,64.0,3.5,SATA 6.0 Gb/s
Samsung 860 Evo,8122.2,2000.0,0.203,SSD,2048.0,M.2-2280,M.2 SATA
Seagate SkyHawk,1519.6,2000.0,0.038,5900,64.0,3.5,SATA 6.0 Gb/s
Seagate SkyHawk AI,3939.8,8000.0,0.025,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital Red Plus,5200.0,8000.0,0.033,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital Purple Surveillance,1799.8,3000.0,0.03,5400,256.0,3.5,SATA 6.0 Gb/s
Western Digital WD Red Pro,6200.0,10000.0,0.031,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate EXOS Enterprise,3199.8,4000.0,0.04,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital Red Plus,2700.0,4000.0,0.034,5400,128.0,3.5,SATA 6.0 Gb/s
Seagate Barracuda Green,1813.4,2000.0,0.045,5900,64.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf NAS,5149.0,10000.0,0.026,7200,256.0,3.5,SATA 6.0 Gb/s
Toshiba P300,1703.6,2000.0,0.043,5400,128.0,3.5,SATA 6.0 Gb/s
Western Digital Black,5739.8,6000.0,0.048,7200,128.0,3.5,SATA 6.0 Gb/s
Western Digital Red,5140.0,8000.0,0.032,5400,256.0,3.5,SATA 6.0 Gb/s
Toshiba P300,1716.4,2000.0,0.043,5400,256.0,3.5,SATA 6.0 Gb/s
Western Digital VelociRaptor,3799.0,300.0,0.633,10000,16.0,3.5,SATA 3.0 Gb/s
Western Digital Black,1299.8,1000.0,0.065,7200,32.0,2.5,SATA 6.0 Gb/s
Western Digital Caviar Blue,1179.8,640.0,0.092,7200,16.0,3.5,SATA 3.0 Gb/s
Seagate SkyHawk Surveillance +Rescue,3839.6,8000.0,0.024,5400,256.0,3.5,SATA 6.0 Gb/s
Seagate Exos 7E8 512e,5345.8,8000.0,0.033,7200,256.0,3.5,SATA 6.0 Gb/s
Hitachi Ultrastar He10,5361.2,10000.0,0.027,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate Enterprise,4959.8,8000.0,0.031,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital Gold,5817.79,6000.0,0.048,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital VelociRaptor,3940.0,150.0,1.313,10000,16.0,3.5,SATA 3.0 Gb/s
Toshiba N300 Pro,6979.8,18000.0,0.019,7200,512.0,3.5,SATA 6.0 Gb/s
Hitachi Ultrastar 7K3000,3028.8,2000.0,0.076,7200,64.0,3.5,SATA 6.0 Gb/s
Seagate Momentus 5400.6,899.8,250.0,0.18,5400,8.0,2.5,SATA 3.0 Gb/s
Toshiba N300 Pro,5899.8,16000.0,0.018,7200,512.0,3.5,SATA 6.0 Gb/s
Western Digital RE4,1300.0,1000.0,0.065,7200,64.0,3.5,SATA 3.0 Gb/s
Toshiba N300 NAS,3459.8,8000.0,0.022,7200,512.0,3.5,SATA 6.0 Gb/s
Western Digital Gold,1835.8,1000.0,0.092,7200,128.0,3.5,SATA 6.0 Gb/s
Toshiba N300 NAS,3899.8,10000.0,0.019,7200,512.0,3.5,SATA 6.0 Gb/s
Seagate Exos X14,4900.0,10000.0,0.025,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital Red Plus,5380.0,8000.0,0.034,5640,128.0,3.5,SATA 6.0 Gb/s
Seagate Constellation ES.3,1540.0,4000.0,0.019,7200,128.0,3.5,SAS 6.0 Gb/s
Toshiba P300,1366.2,500.0,0.137,7200,64.0,3.5,SATA 6.0 Gb/s
Western Digital AV-GP,980.0,1500.0,0.033,5400,32.0,3.5,SATA 3.0 Gb/s
Toshiba MG07ACA12TE,5980.0,12000.0,0.025,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate Exos X18,5429.0,10000.0,0.027,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital VelociRaptor,1571.2,500.0,0.157,10000,64.0,3.5,SATA 6.0 Gb/s
Western Digital Purple Pro,5880.0,12000.0,0.025,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital Scorpio Blue,1780.0,80.0,1.113,5400,8.0,2.5,SATA 1.5 Gb/s
Western Digital Caviar Blue,1580.0,750.0,0.105,7200,32.0,3.5,SATA 6.0 Gb/s
Seagate Constellation ES,808.0,1000.0,0.04,7200,64.0,3.5,SATA 6.0 Gb/s
Mushkin Vortex Redline,3399.8,2000.0,0.085,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Seagate IronWolf NAS,3351.39,3000.0,0.056,5400,256.0,3.5,SATA 6.0 Gb/s
Western Digital WDBSLA0040HNC-NRSN,2380.0,4000.0,0.03,7200,64.0,3.5,SATA 6.0 Gb/s
Western Digital Red,2540.0,2000.0,0.064,5400,256.0,3.5,SATA 6.0 Gb/s
Western Digital Caviar Blue,1974.4,1000.0,0.099,7200,32.0,3.5,SATA 6.0 Gb/s
Western Digital Caviar Blue,1512.0,250.0,0.302,7200,8.0,3.5,SATA 3.0 Gb/s
Western Digital Caviar Black,3110.8,500.0,0.311,7200,32.0,3.5,SATA 6.0 Gb/s
Seagate Enterprise Capacity,5495.0,10000.0,0.027,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital Purple,1500.0,2000.0,0.037,5400,64.0,3.5,SATA 6.0 Gb/s
Western Digital Caviar Green,2120.0,1000.0,0.106,5400,32.0,3.5,SATA 3.0 Gb/s
Western Digital Blue,1299.8,2000.0,0.032,5400,64.0,3.5,SATA 6.0 Gb/s
Toshiba MG09 512e,6339.8,16000.0,0.02,7200,512.0,3.5,SATA 6.0 Gb/s
Western Digital RE,1149.8,1000.0,0.057,7200,64.0,3.5,SATA 6.0 Gb/s
Western Digital Blue,3170.0,6000.0,0.026,5400,64.0,3.5,SATA 6.0 Gb/s
Western Digital Red,6689.0,10000.0,0.033,5400,256.0,3.5,SATA 6.0 Gb/s
Western Digital Black,3779.8,4000.0,0.047,7200,64.0,3.5,SATA 6.0 Gb/s
Seagate BarraCuda,2919.8,4000.0,0.036,5900,64.0,3.5,SATA 6.0 Gb/s
Toshiba X300 Pro,6488.8,16000.0,0.02,7200,512.0,3.5,SATA 6.0 Gb/s
Western Digital Purple,1919.8,4000.0,0.024,5400,64.0,3.5,SATA 6.0 Gb/s
Western Digital Blue,2099.79,6000.0,0.017,5400,64.0,3.5,SATA 6.0 Gb/s
Western Digital Caviar Green,1939.4,2000.0,0.048,5400,64.0,3.5,SATA 3.0 Gb/s
Hitachi 7K1000.C,1755.2,1000.0,0.088,7200,32.0,3.5,SATA 3.0 Gb/s
Hitachi A7K2000,579.79,500.0,0.058,7200,32.0,3.5,SATA 3.0 Gb/s
Seagate BarraCuda,1080.0,320.0,0.169,7200,16.0,3.5,SATA 6.0 Gb/s
Hitachi Travelstar Z5K500,3000.0,500.0,0.3,5400,8.0,2.5,SATA 3.0 Gb/s
Seagate BarraCuda,4991.6,3000.0,0.083,5400,128.0,2.5,SATA 6.0 Gb/s
Seagate ST4000NM0024,2569.8,4000.0,0.032,7200,128.0,3.5,SATA 6.0 Gb/s
Toshiba MG04ACA200E,2955.0,2000.0,0.074,7200,128.0,3.5,SATA 6.0 Gb/s
Western Digital Gold,2959.8,4000.0,0.037,7200,128.0,3.5,SATA 6.0 Gb/s
Western Digital Red,2900.0,3000.0,0.048,5400,256.0,3.5,SATA 6.0 Gb/s
Western Digital Caviar Green,1699.8,2000.0,0.042,5400,64.0,3.5,SATA 6.0 Gb/s
Western Digital Red,2495.8,1000.0,0.125,5400,16.0,2.5,SATA 6.0 Gb/s
Seagate BarraCuda,2571.6,500.0,0.257,7200,32.0,3.5,SATA 3.0 Gb/s
Seagate Enterprise Capacity,2500.0,2000.0,0.062,7200,128.0,3.5,SATA 6.0 Gb/s
Toshiba MQ04ABD200,1499.8,2000.0,0.037,5400,128.0,2.5,SATA 6.0 Gb/s
Toshiba X300,5107.79,8000.0,0.032,7200,128.0,3.5,SATA 6.0 Gb/s
Seagate SkyHawk Surveillance,4999.8,10000.0,0.025,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate BarraCuda,2520.0,750.0,0.168,7200,32.0,3.5,SATA 3.0 Gb/s
Western Digital Black,1300.0,750.0,0.087,7200,16.0,2.5,SATA 6.0 Gb/s
Western Digital WD Red Pro,5389.8,12000.0,0.022,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital Purple Pro,5078.8,10000.0,0.025,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital Red,3580.0,6000.0,0.03,5400,256.0,3.5,SATA 6.0 Gb/s
Western Digital Red Plus,3365.8,6000.0,0.028,5400,64.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf NAS,3999.8,6000.0,0.033,5400,256.0,3.5,SATA 6.0 Gb/s
Hitachi Deskstar 7K2000,1422.8,2000.0,0.036,7200,32.0,3.5,SATA 3.0 Gb/s
Western Digital Purple Pro,7559.8,18000.0,0.021,7200,512.0,3.5,SATA 6.0 Gb/s
Western Digital WDBMMA0030HNC-NRSN,1399.6,3000.0,0.023,5400,64.0,3.5,SATA 6.0 Gb/s
Seagate Exos X18,8041.4,16000.0,0.025,7200,256.0,3.5,SAS 12.0 Gb/s
Western Digital Gold,5999.8,14000.0,0.021,7200,512.0,3.5,SATA 6.0 Gb/s
Toshiba MG07ACA14TE,5980.0,14000.0,0.021,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital Caviar Blue,2262.4,1000.0,0.113,7200,32.0,3.5,SATA 3.0 Gb/s
Western Digital AV-GP,999.0,160.0,0.312,5400,8.0,3.5,SATA 3.0 Gb/s
Seagate BarraCuda,1480.0,500.0,0.148,7200,16.0,3.5,SATA 3.0 Gb/s
Seagate IronWolf Pro,5100.0,8000.0,0.032,7200,256.0,3.5,SATA 6.0 Gb/s
Toshiba N300,9799.79,16000.0,0.031,7200,512.0,3.5,SATA 6.0 Gb/s
Toshiba N300 NAS,6980.0,20000.0,0.017,7200,512.0,3.5,SATA 6.0 Gb/s
Seagate SkyHawk AI,4799.8,10000.0,0.024,7200,256.0,3.5,SATA 6.0 Gb/s
Toshiba L200,1703.8,2000.0,0.043,5400,128.0,2.5,SATA 6.0 Gb/s
Nextorage NN5PRO,7999.8,2000.0,0.2,SSD,4096.0,M.2-2280,M.2 PCIe 4.0 X8
Hitachi Ultrastar 7K6000,12930.8,6000.0,0.108,7200,128.0,3.5,SATA 6.0 Gb/s
Seagate Exos 7E8,3392.8,4000.0,0.042,7200,256.0,3.5,SATA 6.0 Gb/s
Toshiba N300,3499.8,8000.0,0.022,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate Enterprise,3859.4,6000.0,0.032,7200,128.0,3.5,SAS 12.0 Gb/s
Seagate Enterprise Capacity,3435.0,8000.0,0.021,7200,256.0,3.5,SAS 6.0 Gb/s
Seagate Exos 7E8,1819.19,3000.0,0.03,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital Red Plus,3340.0,6000.0,0.028,5640,128.0,3.5,SATA 6.0 Gb/s
Seagate BarraCuda Pro,3700.0,6000.0,0.031,7200,128.0,3.5,SATA 6.0 Gb/s
Seagate Enterprise,7980.0,12000.0,0.033,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital Caviar Blue,1699.0,320.0,0.265,7200,8.0,3.5,PATA 100
Seagate SkyHawk Surveillance,4311.8,8000.0,0.027,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate BarraCuda,1700.0,320.0,0.266,7200,16.0,3.5,SATA 3.0 Gb/s
Western Digital Purple,1799.8,3000.0,0.03,5400,64.0,3.5,SATA 6.0 Gb/s
Hitachi Ultrastar He8,6500.0,8000.0,0.041,7200,128.0,3.5,SATA 6.0 Gb/s
Seagate Momentus 7200.4,900.0,500.0,0.09,7200,16.0,2.5,SATA 3.0 Gb/s
Western Digital Green,2304.79,2000.0,0.058,5900,8.0,2.5,SATA 6.0 Gb/s
Western Digital Purple,1980.0,4000.0,0.025,5400,64.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf Pro,5479.8,10000.0,0.027,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate Exos X10,20180.0,10000.0,0.101,7200,256.0,3.5,SAS 12.0 Gb/s
Western Digital Purple Pro,8999.79,22000.0,0.02,7200,512.0,3.5,SATA 6.0 Gb/s
Hitachi 0F27406,2780.0,8000.0,0.017,7200,256.0,3.5,SAS 12.0 Gb/s
Western Digital Purple,5980.0,12000.0,0.025,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital WD Red Pro,2799.8,4000.0,0.035,7200,256.0,3.5,SATA 6.0 Gb/s
Toshiba L200,1276.0,1000.0,0.064,5400,128.0,2.5,SATA 6.0 Gb/s
Seagate SkyHawk Surveillance +Rescue,2999.8,6000.0,0.025,5400,256.0,3.5,SATA 6.0 Gb/s
Seagate BarraCuda,1139.8,500.0,0.114,5400,128.0,2.5,SATA 6.0 Gb/s
Seagate Barracuda LP,2179.6,2000.0,0.054,5900,32.0,3.5,SATA 3.0 Gb/s
Seagate Momentus 7200.4,459.0,160.0,0.143,7200,16.0,2.5,SATA 3.0 Gb/s
Seagate ST1000NX0313,1168.8,1000.0,0.058,7200,128.0,2.5,SATA 6.0 Gb/s
Seagate ST4000LM016,3100.0,4000.0,0.039,5400,128.0,2.5,SATA 6.0 Gb/s
Toshiba N300 NAS,4379.8,12000.0,0.018,7200,512.0,3.5,SATA 6.0 Gb/s
Hitachi Travelstar,1700.0,1000.0,0.085,7200,32.0,2.5,SATA 6.0 Gb/s
Western Digital Blue,1599.6,3000.0,0.027,5400,256.0,3.5,SATA 6.0 Gb/s
Seagate BarraCuda Pro,4829.8,8000.0,0.03,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital Purple,4118.0,8000.0,0.026,5640,128.0,3.5,SATA 6.0 Gb/s
Western Digital WD Red Pro,5089.0,8000.0,0.032,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate Exos X18,9114.19,18000.0,0.025,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital Caviar Black,1579.0,1000.0,0.079,7200,32.0,3.5,SATA 3.0 Gb/s
Western Digital Red Plus,2120.0,2000.0,0.053,5400,128.0,3.5,SATA 6.0 Gb/s
Western Digital WD Red Pro,9999.79,24000.0,0.021,7200,512.0,3.5,SATA 6.0 Gb/s
Seagate Momentus 5400.6,660.0,320.0,0.103,5400,8.0,2.5,SATA 3.0 Gb/s
Toshiba MK5061GSYN,1160.0,500.0,0.116,7200,16.0,2.5,SATA 3.0 Gb/s
Toshiba PH3500U-1I72,3580.0,5000.0,0.036,7200,128.0,3.5,SATA 6.0 Gb/s
Patriot VPN100,6344.0,1000.0,0.317,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4
Patriot VPN100,6923.8,2000.0,0.173,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Purple,1379.6,2000.0,0.034,5400,64.0,3.5,SATA 6.0 Gb/s
Western Digital Scorpio Blue,386.4,250.0,0.077,5400,8.0,2.5,SATA 3.0 Gb/s
Seagate Enterprise Capacity,2199.79,4000.0,0.027,7200,128.0,3.5,SATA 6.0 Gb/s
Toshiba N300 NAS,5699.8,16000.0,0.018,7200,512.0,3.5,SATA 6.0 Gb/s
Western Digital RE,2099.79,3000.0,0.035,7200,64.0,3.5,SATA 6.0 Gb/s
Toshiba P300,3438.0,6000.0,0.029,5400,128.0,3.5,SATA 6.0 Gb/s
Seagate Constellation ES,1159.8,1000.0,0.058,7200,32.0,3.5,SATA 3.0 Gb/s
Seagate SkyHawk,2699.8,4000.0,0.034,5900,64.0,3.5,SATA 6.0 Gb/s
Seagate Exos X14,6181.4,12000.0,0.026,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital VelociRaptor,2978.8,300.0,0.496,10000,16.0,3.5,SATA 3.0 Gb/s
Hitachi 7K1000.C,5247.2,250.0,1.049,7200,8.0,3.5,SATA 3.0 Gb/s
Western Digital AV-GP,379.6,250.0,0.076,5400,16.0,3.5,SATA 3.0 Gb/s
Western Digital RE,800.0,250.0,0.16,7200,64.0,3.5,SATA 6.0 Gb/s
Western Digital SE,2060.0,1000.0,0.103,7200,128.0,3.5,SATA 6.0 Gb/s
Seagate Enterprise Capacity,4402.2,6000.0,0.037,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate Enterprise Capacity,15980.0,8000.0,0.1,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate Exos 7E10 512e/4Kn,3520.4,4000.0,0.044,7200,256.0,3.5,SATA 6.0 Gb/s
Hitachi 0B36040,3056.39,4000.0,0.038,7200,256.0,3.5,SATA 6.0 Gb/s
Hitachi 0F14683,2713.8,4000.0,0.034,7200,64.0,3.5,SATA 6.0 Gb/s
Toshiba X300,4769.39,6000.0,0.04,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital RE4,687.8,500.0,0.069,7200,64.0,3.5,SATA 3.0 Gb/s
Western Digital Black,5399.8,6000.0,0.045,7200,128.0,3.5,SATA 6.0 Gb/s
Seagate SkyHawk,4437.0,6000.0,0.037,5900,256.0,3.5,SATA 6.0 Gb/s
Western Digital RE3,499.79,250.0,0.1,7200,16.0,3.5,SATA 3.0 Gb/s
Seagate Cheetah 15K.7,1960.6,600.0,0.163,15000,16.0,3.5,SAS 6.0 Gb/s
Seagate ST4000NC001,2538.19,4000.0,0.032,5900,64.0,3.5,SATA 6.0 Gb/s
Western Digital Blue,1494.6,3000.0,0.025,5400,32.0,3.5,SATA 3.0 Gb/s
Hitachi Deskstar NAS,4999.8,8000.0,0.031,7200,128.0,3.5,SATA 6.0 Gb/s
Toshiba X300,10587.2,8000.0,0.066,7200,256.0,3.5,SATA 6.0 Gb/s
Toshiba X300,9194.0,16000.0,0.029,7200,512.0,3.5,SATA 6.0 Gb/s
Seagate Barracuda ES.2,2210.0,250.0,0.442,7200,32.0,3.5,SATA 3.0 Gb/s
Seagate Exos X18,6649.0,10000.0,0.033,7200,512.0,3.5,SATA 6.0 Gb/s
Seagate Exos X24,6980.0,12000.0,0.029,7200,512.0,3.5,SAS 12.0 Gb/s
Samsung Spinpoint F1 DT,1455.0,640.0,0.114,7200,16.0,3.5,SATA 3.0 Gb/s
Seagate SV35.5,1799.0,500.0,0.18,5900,16.0,3.5,SATA 3.0 Gb/s
Western Digital Caviar Green,4580.0,3000.0,0.076,5400,64.0,3.5,SATA 3.0 Gb/s
Western Digital WDBSLA0020HNC-NRSN,1316.6,2000.0,0.033,7200,64.0,3.5,SATA 6.0 Gb/s
Seagate Exos 7E10 512n,3420.8,2000.0,0.086,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital Blue Mobile,939.8,500.0,0.094,5400,128.0,2.5,SATA 6.0 Gb/s
Seagate SkyHawk AI,4999.0,14000.0,0.018,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate SkyHawk AI,4599.59,10000.0,0.023,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital WD Red Pro,5400.0,4000.0,0.068,7200,128.0,3.5,SATA 6.0 Gb/s
Western Digital Scorpio Blue,1080.0,750.0,0.072,5400,8.0,2.5,SATA 3.0 Gb/s
Samsung Spinpoint M8,1400.0,1000.0,0.07,5400,8.0,2.5,SATA 3.0 Gb/s
Seagate SkyHawk,4789.0,10000.0,0.024,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate SkyHawk AI,5399.8,12000.0,0.022,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate Exos X18,8198.2,16000.0,0.026,7200,256.0,3.5,SATA 6.0 Gb/s
Toshiba MG04ACA100N,2214.0,1000.0,0.111,7200,128.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf NAS,4322.2,1000.0,0.216,5900,64.0,3.5,SATA 6.0 Gb/s
Western Digital Purple,1920.0,3000.0,0.032,5400,64.0,3.5,SATA 6.0 Gb/s
Western Digital Caviar Black,2925.4,1500.0,0.098,7200,64.0,3.5,SATA 3.0 Gb/s
Western Digital WDBMYH0010BNC-NRSN,989.8,1000.0,0.049,5400,8.0,2.5,SATA 3.0 Gb/s
Western Digital Purple,9889.0,18000.0,0.027,7200,512.0,3.5,SATA 6.0 Gb/s
Toshiba X300 Pro,7106.0,10000.0,0.036,7200,512.0,3.5,SATA 6.0 Gb/s
Western Digital WD Red Pro,8399.79,20000.0,0.021,7200,512.0,3.5,SATA 6.0 Gb/s
Seagate Exos X18,7199.8,18000.0,0.02,7200,256.0,3.5,SAS 12.0 Gb/s
Toshiba X300 Pro,5899.8,14000.0,0.021,7200,512.0,3.5,SATA 6.0 Gb/s
Western Digital Purple Pro,4799.59,8000.0,0.03,7200,256.0,3.5,SATA 6.0 Gb/s
Toshiba MG09 512e,5799.8,12000.0,0.024,7200,512.0,3.5,SATA 6.0 Gb/s
Toshiba N300,5799.8,8000.0,0.036,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital Black,999.8,500.0,0.1,7200,64.0,3.5,SATA 6.0 Gb/s
Seagate Exos X18,6987.4,12000.0,0.029,7200,512.0,3.5,SATA 6.0 Gb/s
Western Digital Purple,2799.8,6000.0,0.023,5400,64.0,3.5,SATA 6.0 Gb/s
Seagate SkyHawk AI,4835.0,10000.0,0.024,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital Caviar Green,3599.0,1500.0,0.12,5400,64.0,3.5,SATA 3.0 Gb/s
Western Digital Scorpio Blue,925.8,160.0,0.289,5400,8.0,2.5,SATA 1.5 Gb/s
Seagate BarraCuda,1119.0,160.0,0.35,7200,8.0,3.5,SATA 3.0 Gb/s
Seagate Barracuda LP,2708.8,1000.0,0.135,5900,32.0,3.5,SATA 3.0 Gb/s
Hitachi 0J11561,784.0,500.0,0.078,5400,8.0,2.5,SATA 3.0 Gb/s
Western Digital AV-25,448.0,320.0,0.07,5400,16.0,2.5,SATA 3.0 Gb/s
Western Digital AV-GP,520.0,160.0,0.163,5400,16.0,3.5,SATA 3.0 Gb/s
Toshiba PH3400U-1I72,3180.0,4000.0,0.04,7200,128.0,3.5,SATA 6.0 Gb/s
Seagate SkyHawk,4000.0,8000.0,0.025,5900,256.0,3.5,SATA 6.0 Gb/s
Western Digital Purple,4477.79,8000.0,0.028,5400,128.0,3.5,SATA 6.0 Gb/s
Western Digital Purple,4382.0,8000.0,0.027,5400,256.0,3.5,SATA 6.0 Gb/s
Toshiba N300,4107.6,6000.0,0.034,7200,256.0,3.5,SATA 6.0 Gb/s
Toshiba N300 Pro,5379.8,12000.0,0.022,7200,512.0,3.5,SATA 6.0 Gb/s
Western Digital RE,1427.4,2000.0,0.036,7200,128.0,3.5,SATA 6.0 Gb/s
Seagate SkyHawk AI,6399.8,16000.0,0.02,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital Purple Pro,6499.0,14000.0,0.023,7200,512.0,3.5,SATA 6.0 Gb/s
Toshiba X300 Pro,5499.8,12000.0,0.023,7200,512.0,3.5,SATA 6.0 Gb/s
Seagate SkyHawk Surveillance +Rescue,2370.2,3000.0,0.04,5400,256.0,3.5,SATA 6.0 Gb/s
